1.51738:3.08081 2.21343:2.86223 0.859413:0.140113 2.12729:3.07321 
0.980429:2.77484 1.91364:1.22641 0.439156:1.80473 1.26654:2.95063 
2.26602:4.90009 2.45205:5.09609 1.88381:3.81878 2.28855:4.05288 
0.994662:2.74563 1.71969:1.65715 0.279563:1.45051 1.12602:2.89716 
2.87195:0.231358 1.38197:1.8437 1.4564:1.31851 0.25297:0.450186 
1.96469:5.02025 2.83441:5.21949 2.07353:3.78455 2.51775:3.5178 
0.302009:2.87174 1.52518:0.780472 1.87702:3.95657 0.85375:0.888575 
1.33249:1.62606 2.16126:0.630943 1.20037:2.65572 1.38385:2.66966 
2.41924:2.53981 1.96322:1.06715 2.14607:1.31296 2.47164:2.81638 
1.3298:1.00278 0.932648:2.26229 2.11132:1.51618 1.11066:1.62362 
0.638773:2.02591 2.24397:1.00886 1.03999:1.81791 1.88408:1.07174 
0.650711:2.45752 1.0496:1.66518 1.94063:2.01792 1.53783:2.03142 
1.83326:2.73984 0.440882:1.14051 2.41445:1.47347 1.61703:2.87114 
2.82236:0.649735 2.67794:2.2664 1.93364:0.585555 2.50776:1.712 
2.56312:1.64079 0.298801:0.855638 2.42882:1.60477 2.52338:2.08969 
2.52338:2.08969 2.08462:1.48918 1.28158:1.66688 1.03584:1.28568 
2.4882:3.13099 1.98756:2.54863 1.45475:0.57076 1.76468:2.92128 
1.17227:2.17898 2.5149:0.710029 0.617794:1.15893 1.356:2.19427 
2.54393:0.440971 2.23824:3.97193 0.533973:1.44215 2.68728:1.72 
2.15744:1.90881 2.27383:0.971979 0.602655:1.97397 0.568258:0.548421 
1.20615:2.12167 2.64412:1.76262 2.54958:2.34941 2.68337:3.13024 
1.16805:3.42846 1.1615:5.01574 2.27887:1.60409 1.24191:3.20911 
1.34938:4.99479 1.19675:4.42002 1.00451:5.89428 0.915769:4.62473 
0.965179:4.68347 1.82752:4.89104 0.830395:4.69819 1.02092:4.3883 
1.02092:4.3883 0.490098:4.8684 2.86799:4.38499 2.56213:5.1647 
1.54931:4.08414 2.10394:3.67671 0.996387:6.101 1.79334:3.37242 
2.94864:0.0385722 1.56668:1.90734 0.4868:2.13342 1.34912:0.387993 
1.70223:2.74432 1.37433:2.74065 1.19593:0.404241 2.16922:2.96538 
0.789827:0.0491672 1.3113:0.341685 1.21918:0.97502 1.41766:0.0537306 
1.26519:0.00511621 2.04646:2.77757 1.38346:0.088172 1.40246:0.229359 
1.40246:0.229359 1.62598:0.383023 1.33048:2.63119 1.37575:3.07704 
1.32978:0.836703 1.41723:1.56402 1.50448:1.40177 2.00238:1.51311 
1.47474:0.480113 0.683455:3.10337 1.37281:0.474808 1.38402:0.635401 
1.21437:3.02629 2.21559:2.7112 1.45304:0.412611 1.66098:2.73499 
2.071:2.86764 0.285035:2.44209 2.61582:1.21161 1.34676:0.872159 
3.02161:1.90396 1.72061:2.83434 1.23588:1.84431 1.45143:2.2859 
0.198317:2.9287 1.53281:1.23173 2.68473:0.953479 1.83084:2.73927 
1.42933:0.381239 1.73403:0.416894 2.30399:2.98197 0.995763:0.142788 
2.35964:3.05964 1.8384:2.80384 1.8983:2.16885 1.75905:3.12747 
1.87514:3.13234 1.09257:0.353095 1.76681:3.03915 1.75202:2.91238 
1.75202:2.91238 1.50785:2.75083 1.7997:0.511575 1.76385:0.0626855 
1.8317:2.31033 1.80981:1.61194 1.61291:1.74308 1.17033:1.61918 
1.67341:2.67976 2.46462:0.07337 1.73757:2.64328 1.76626:2.50898 
1.9273:0.13241 0.970657:0.459718 1.66597:2.70763 1.47887:0.4474 
1.11748:0.303375 2.89653:0.630561 0.452534:1.90587 1.67554:2.26726 
0.0573973:0.991347 1.43441:6.01794 2.01518:4.96316 1.56538:5.40423 
2.91914:2.67318 1.67923:1.28198 0.4042:0.942238 1.30364:2.77829 
2.68032:2.88282 1.15113:3.04429 0.751784:0.249236 1.84527:0.863181 
2.19312:2.90677 1.36453:1.46421 1.68888:1.30832 1.45723:1.49659 
1.16415:2.16001 0.903359:2.32034 1.71532:0.893733 1.59456:1.99355 
1.29973:1.04943 1.8018:0.861984 1.27313:2.02112 1.7215:1.40584 
1.92944:0.386087 1.70968:0.303213 1.25141:2.51759 2.18764:0.379936 
1.96128:2.17209 0.60834:0.769552 2.49193:1.08487 1.78185:2.21031 
1.00407:1.94616 0.887181:0.97804 2.53542:1.98391 2.59865:0.556685 
1.89015:2.14169 0.53174:1.66844 0.650256:2.08723 0.396902:2.96564 
0.997018:0.700974 1.81547:1.64373 1.30659:1.53972 0.704736:1.28557 
0.681608:1.15655 1.11945:0.908048 1.92474:1.87693 1.41645:2.19048 
1.80529:1.26699 1.95011:1.77423 2.10945:0.363209 2.26419:1.64649 
2.17344:1.59115 1.32265:1.39766 2.32186:1.54814 2.12809:1.89229 
2.12809:1.89229 2.66549:1.33624 0.278963:1.77083 0.580933:1.12072 
1.59008:2.19473 1.03262:2.52795 2.14597:0.179957 1.34788:2.89721 
2.43259:2.54706 1.69175:0.973524 2.11523:1.31343 2.47321:2.83248 
0.645628:2.54823 1.01645:1.58733 2.08534:1.9563 1.58449:1.93085 
0.591656:0.825011 0.772454:0.589639 2.76239:2.29038 0.500159:2.96578 
2.84173:0.69436 2.69249:2.25174 1.92964:0.558901 2.37516:1.59116 
2.54839:1.64252 0.282177:0.834829 2.42097:1.56728 2.51941:2.09703 
2.51941:2.09703 2.07701:1.44428 1.26634:1.61501 1.03775:1.27963 
2.49643:3.13159 1.95416:2.54858 1.45398:0.584407 1.76058:2.91197 
1.57636:2.35358 1.47508:2.13728 1.77339:0.5721 1.42155:2.37791 
1.87913:1.8875 1.8318:2.17739 1.4483:0.557539 1.63891:2.21787 
2.15007:1.93607 1.22848:0.345134 2.70328:2.88196 1.86266:1.76404 
0.237733:1.22074 1.82193:0.114646 1.56415:3.13386 2.94145:2.42501 
0.882351:2.93929 0.690705:0.396384 1.24461:0.896268 0.841422:0.65674 
1.49796:2.54463 0.539875:0.412023 0.210291:0.0295493 2.89202:1.97395 
0.210291:0.0295493 1.52974:2.99292 1.97653:1.37844 0.0849234:1.48022 
2.89202:1.97395 2.65154:0.340604 2.14892:0.785186 0.432922:1.99017 
1.12843:0.875209 0.640256:0.995182 2.10253:1.16811 0.672331:2.02623 
1.71023:1.13641 2.30634:1.79776 2.7228:1.20455 2.51068:2.3488 
1.62352:1.63129 0.92723:1.29171 2.28301:1.71044 1.01367:1.63953 
1.97159:2.17963 0.585955:0.245921 2.56701:1.13515 1.77857:2.21081 
0.572692:0.442175 0.927988:2.2746 2.59308:1.37857 0.431429:1.87051 
0.973349:1.89983 0.87696:0.976471 2.5523:2.18345 2.39694:0.519691 
1.90772:2.10372 0.537136:1.66551 0.656981:2.07004 0.40895:2.94821 
1.00562:0.704821 1.82066:1.65734 1.30561:1.55351 0.700311:1.29621 
2.55774:1.62464 0.575359:1.96727 0.78111:2.54269 2.16351:1.23238 
1.09782:1.20532 1.0565:0.832784 1.93151:1.87131 1.49878:2.13748 
1.80719:1.28561 1.93546:1.84726 2.13051:0.376198 2.27596:1.64229 
2.19585:1.59843 1.30451:1.39597 2.32028:1.54742 2.13727:1.89987 
2.13727:1.89987 2.65321:1.38135 0.278512:1.84549 0.484675:1.0882 
1.58659:2.19734 1.04331:2.62448 2.14158:0.181968 1.35211:2.90117 
2.41675:2.5626 1.96389:1.08044 2.16917:1.27001 2.45863:2.84043 
1.29914:1.04652 0.853283:2.25213 2.13008:1.50319 1.10104:1.58174 
0.633574:1.96865 2.22799:1.00461 1.12271:1.933 1.84129:0.942686 
0.651874:2.56762 1.00359:1.60688 2.05088:1.97489 1.60474:1.91344 
0.572442:0.863758 0.774196:0.591394 2.69529:2.28478 0.552572:3.01281 
2.59657:2.09042 2.69576:2.27048 1.9356:0.588072 2.47416:1.68355 
2.55002:1.63493 0.320863:0.913039 2.42975:1.60188 2.51409:2.09084 
2.51409:2.09084 2.0856:1.47817 1.25182:1.62354 1.05588:1.28773 
2.49397:3.11917 2.03275:2.51299 1.45544:0.578568 1.741:2.92747 
1.02279:2.80352 1.70873:1.4456 0.285533:2.02792 1.24175:2.90957 
2.90131:0.254791 1.47713:1.81331 1.4485:1.26647 0.537502:0.0238603 
