0.898211:5.29733 1.17364:2.93703 1.84855:5.68666 
2.05194:3.47818 2.16927:5.82148 1.45191:3.55162 
2.47704:3.81739 2.48265:3.5422 0.323578:6.2464 
1.83159:5.12103 1.20635:4.42738 1.95845:4.73618 
1.86306:5.95072 1.3594:3.78882 1.60426:6.02093 
0.630808:0.0544237 1.22592:0.634621 0.839142:0.792671 
1.98549:0.957225 1.63974:1.71213 1.5381:1.81744 
1.0665:2.28942 1.32315:2.33074 1.6567:1.23977 
1.80846:2.10328 0.887102:2.38837 1.02553:2.64596 
1.00149:1.72399 2.14363:2.75793 2.25447:0.918703 
2.33695:0.861419 1.2147:0.652772 2.41477:2.50308 
1.2147:0.652772 1.20235:0.739098 1.1446:2.10237 
2.41477:2.50308 1.97582:2.80999 1.66083:0.299877 
1.89991:1.31922 2.14797:1.74775 2.02949:1.12954 
2.14797:1.74775 2.50247:1.19395 2.31858:1.01082 
0.358357:1.29305 0.6379:1.49161 0.348893:1.06834 
0.624335:1.84287 1.53379:1.19069 1.81497:2.00322 
2.40924:0.179613 2.16512:0.812708 2.86311:1.40607 
2.15842:1.00123 2.48218:0.463471 0.754016:2.45119 
1.00226:2.40052 1.74706:2.24818 1.01891:2.66387 
2.19469:0.540847 1.94657:2.41468 0.800948:0.367578 
1.40887:2.92213 0.945583:0.83298 2.15805:2.74679 
1.27379:2.24509 1.41423:2.47614 1.57164:1.00202 
2.55765:0.687499 2.82052:1.56835 2.63735:1.38783 
1.68875:0.629126 2.52356:2.27489 1.09093:0.250305 
2.04419:4.02607 1.25225:3.58122 1.49646:4.15386 
0.511444:3.05073 0.511051:1.11729 2.60685:0.966529 
2.45938:0.126865 2.58155:0.180117 0.597234:2.27522 
2.20867:0.729091 2.44127:0.646937 1.47543:0.798978 
1.03602:1.5896 0.91287:0.171864 1.76463:2.07738 
0.999628:0.539443 2.88523:3.08919 0.400712:0.774203 
1.63056:1.891 1.25987:2.51019 1.57893:0.932513 
1.25987:2.51019 1.25289:2.46692 2.6472:0.0720611 
1.57893:0.932513 1.62301:0.48089 1.29566:3.1286 
1.01152:3.23831 1.55565:5.38158 1.59645:3.7011 
2.23887:4.43206 2.02042:4.85078 0.431628:3.20665 
2.02042:4.85078 1.6826:4.50946 0.434923:3.8126 
1.64507:4.61601 1.46151:4.67522 2.54664:4.15598 
1.55103:4.80397 0.698081:4.06252 2.2445:5.35151 
0.580919:3.34518 0.935926:3.98433 2.40337:5.62186 
0.792814:4.06819 1.12154:3.83045 1.27663:3.81638 
1.71313:2.2528 1.84124:0.759138 1.5968:2.22213 
1.50867:5.98035 1.3737:2.1727 1.50065:0.692443 
1.14659:5.56171 1.09019:5.74067 2.40386:3.83892 
0.760968:4.05337 1.34806:4.70509 0.549782:4.50642 
2.20884:2.54677 1.75078:2.87287 2.34977:3.01162 
1.33394:2.14806 1.96571:1.52164 1.30856:1.09868 
1.86354:0.824959 1.67476:0.931183 1.82927:2.12838 
1.02719:0.801952 1.99732:1.04145 2.44536:0.177119 
2.67401:1.72092 1.80861:0.726032 0.401754:2.58756 
1.28852:0.608928 1.4642:1.81948 1.58315:1.04504 
0.116467:2.57845 1.99979:2.77641 0.64237:0.0449586 
1.99979:2.77641 2.04268:2.7903 1.69536:1.02597 
0.64237:0.0449586 1.21554:0.0246507 1.49226:3.01034 
1.53139:2.73035 0.848422:0.0952207 1.94372:2.97518 
0.803624:1.5437 0.653275:0.97855 1.38978:2.13417 
